district_label_post,report_year,title,fund_source,award_date,start_date,completion_date,,,district_label_post_agg,award_date_txt,start_date_txt,completion_date_txt
Accra Metropolitan Assembly,2012,GRAVELLING WORKS ON DANSO STREET CH 0+425-0+8500,igf,4/14/2011,,,,,Accra Metropolitan Assembly,2011-04-14,,
Accra Metropolitan Assembly,2012,SURFACING OF EMMAUSE CRESENT LINK ROAD,igf,5/23/2011,,,,,Accra Metropolitan Assembly,2011-05-23,,
Accra Metropolitan Assembly,2012,SURFACING OF JUBILEE LINK ROAD,igf,5/23/2011,,,,,Accra Metropolitan Assembly,2011-05-23,,
Accra Metropolitan Assembly,2012,RESEALING WORKS ON GBEEGBE HIGH STREET ABLEKUMA SOUTH 0+000-0+700,igf,4/11/2011,,,,,Accra Metropolitan Assembly,2011-04-11,,
Accra Metropolitan Assembly,2012,GRAVELLING WORKS ON ODOUOO STREET 0.25KM,igf,11/2/2011,,,,,Accra Metropolitan Assembly,2011-11-02,,
Accra Metropolitan Assembly,2012,GRAVELLING WORKS ON 2ND ADOTEY OBOUR ROAD ABLEKUMA CENTRAL 0.40KM,igf,4/14/2011,,,,,Accra Metropolitan Assembly,2011-04-14,,
Accra Metropolitan Assembly,2012,GRAVELLING WORKS ON ST MARK STREET AND ADAMA EXTENSION ROAD ABLEKUMA CENTRAL 0.50KM,igf,4/14/2012,,,,,Accra Metropolitan Assembly,2012-04-14,,
Accra Metropolitan Assembly,2012,GRAVELLING WORKS ON OTINSHIE ROAD EAST LEGON CH 0+330-0+610,igf,,,,,,Accra Metropolitan Assembly,,,
Accra Metropolitan Assembly,2012,GRAVELLING WORKS ON 7TH PARADISE LINK NEWTOWN LINK ROAD CH 0+400-0+800,igf,4/27/2012,,,,,Accra Metropolitan Assembly,2012-04-27,,
Accra Metropolitan Assembly,2012,SURFACING OF WOOD LANE NMLENMLENTE ELECTORAL AREA CH 0+00-0+250,igf,4/14/2012,,,,,Accra Metropolitan Assembly,2012-04-14,,
Accra Metropolitan Assembly,2012,SURFACING OF KINSHASHA ROAD CHAINAGE 1+250-1+500,igf,,,,,,Accra Metropolitan Assembly,,,
Accra Metropolitan Assembly,2012,SURFACING OF AGBON KWATEI STREET AND CLOSE 035KM,igf,,,,,,Accra Metropolitan Assembly,,,
Accra Metropolitan Assembly,2012,RESURFACING OF ALUGUTUNGUI STREET EAST LEGON 0+000-0+300,igf,,,,,,Accra Metropolitan Assembly,,,
Accra Metropolitan Assembly,2012,SURFACING WORKS ON BLACK STREET EAST LEGON 0.30 KM,igf,,,,,,Accra Metropolitan Assembly,,,
Accra Metropolitan Assembly,2012,GRAVELLING WORKS ON PALM STREET KOTOBABI CHAINAGE 0+450-0+950,igf,1/6/2012,,,,,Accra Metropolitan Assembly,2012-01-06,,
Accra Metropolitan Assembly,2012,PAVING WORKS ON KOFI OKU STREET,igf,4/14/2011,,,,,Accra Metropolitan Assembly,2011-04-14,,
Accra Metropolitan Assembly,2012,GRAVELLING WORKS ON SAHARA DOWN ROAD 0.50KM-ABLEKUMA SOUTH,igf,4/14/2011,,,,,Accra Metropolitan Assembly,2011-04-14,,
Accra Metropolitan Assembly,2012,REGRAVELLING WORKS AT AWUDOME LOOP NII OKAI CLOSE 1ST 2ND 3RD & 6TH CLOSE KANESHIE,igf,,,,,,Accra Metropolitan Assembly,,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF WALKWAY AROUND NATIONALISM PARK,igf,6/6/2012,,,,,Accra Metropolitan Assembly,2012-06-06,,
Accra Metropolitan Assembly,2012,SURFACING WORKS ON EAST KANDA ROAD AYAWASO EAST 0+500-0+750,igf,1/16/2012,,,,,Accra Metropolitan Assembly,2012-01-16,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN ALONG SIX TO SIX JUNCTION SIX TO SIX LHS CH 0+000-0+200,igf,5/10/2012,,,,,Accra Metropolitan Assembly,2012-05-10,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF SPEED HUMPS ON SELECTED ROADS IN ACCRA METROPOLIS,igf,8/6/2012,,,,,Accra Metropolitan Assembly,2012-08-06,,
Accra Metropolitan Assembly,2012,GRAVELLING WORKS ON PALM STREET KOTOBABI 0+450-0+905,igf,1/6/2012,,,,,Accra Metropolitan Assembly,2012-01-06,,
Accra Metropolitan Assembly,2012,PAVEMENT WORKS AT TRANSFORMER AREA BEHIND STADIUM,igf,4/11/2012,,,,,Accra Metropolitan Assembly,2012-04-11,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF SPEED HUMP ON SELECTED ROAD IN THE ACCRA METROPOLIS,igf,8/6/2012,,,,,Accra Metropolitan Assembly,2012-08-06,,
Accra Metropolitan Assembly,2012,PAVING WORKS KOFI OKU STREET,igf,9/25/2012,,,,,Accra Metropolitan Assembly,2012-09-25,,
Accra Metropolitan Assembly,2012,PAVING WORKS AT AKOTO LANTEY PHASE II,igf,9/25/2012,,,,,Accra Metropolitan Assembly,2012-09-25,,
Accra Metropolitan Assembly,2012,PAVING WORKS AT ALL NATIONS PHASE I,igf,9/25/2012,,,,,Accra Metropolitan Assembly,2012-09-25,,
Accra Metropolitan Assembly,2012,PAVING WORKS AT AKOTO LANTEY PHASE I,igf,9/26/2012,,,,,Accra Metropolitan Assembly,2012-09-26,,
Accra Metropolitan Assembly,2012,GRAVELLING WORKS ON TSOTSO KOTEI LINK AND CHARLSE OKU STREET ATICO 0.58KM,igf,11/1/2012,,,,,Accra Metropolitan Assembly,2012-11-01,,
Accra Metropolitan Assembly,2012,GRAVELLING WORKS AT EMMAUSE CRESCENT LA 0.40KM,igf,3/19/2012,,,,,Accra Metropolitan Assembly,2012-03-19,,
Accra Metropolitan Assembly,2012,RESURFACING OF ALUGUNTUGUI STREET 0+300-0+600,igf,11/25/2012,,,,,Accra Metropolitan Assembly,2012-11-25,,
Accra Metropolitan Assembly,2012,PAVEMENT WORKS BEHIND STADIUM PHASE II,igf,4/11/2012,,,,,Accra Metropolitan Assembly,2012-04-11,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF WALKWAY AROUND NATIONALISM PARK,igf,6/5/2012,,,,,Accra Metropolitan Assembly,2012-06-05,,
Accra Metropolitan Assembly,2012,REGRAVELLING OF ABOTIA MUSULIN LANE STREET,igf,7/26/2012,,,,,Accra Metropolitan Assembly,2012-07-26,,
Accra Metropolitan Assembly,2012,GRAVELLING WORKS ON 5TH STREET MEMPEASEM 0.5KM,igf,3/30/2012,,,,,Accra Metropolitan Assembly,2012-03-30,,
Accra Metropolitan Assembly,2012,GRAVELLING OF BLACK BERRY LINK ROAD EAST LEGON 0 15 KM,igf,5/22/2012,,,,,Accra Metropolitan Assembly,2012-05-22,,
Accra Metropolitan Assembly,2012,SURFACING WORKS ON BLACK BERRY STREET EAST LEGON 0.30 KM,igf,5/22/2012,,,,,Accra Metropolitan Assembly,2012-05-22,,
Accra Metropolitan Assembly,2012,SURFACING OF AGBON KWATEI STREET AND CLOSE 0.35 KM,igf,5/8/2012,,,,,Accra Metropolitan Assembly,2012-05-08,,
Accra Metropolitan Assembly,2012,PAVING WORKS ON LAGOON LINKS,igf,7/25/2012,,,,,Accra Metropolitan Assembly,2012-07-25,,
Accra Metropolitan Assembly,2012,GRAVELLING WORKS ALONG OLA CATHOLIC CHURCH ROAD TANTRA HILL,igf,6/22/2012,,,,,Accra Metropolitan Assembly,2012-06-22,,
Accra Metropolitan Assembly,2012,SURFACING WORKS ON BLACK BERRY LINK ROAD CH 0+000-0+150,igf,5/22/2012,,,,,Accra Metropolitan Assembly,2012-05-22,,
Accra Metropolitan Assembly,2012,SURFACING WORKS ON BLACK BERRY STREET EAST LEGON 0.30 KM,igf,5/22/2012,,,,,Accra Metropolitan Assembly,2012-05-22,,
Accra Metropolitan Assembly,2012,GRAVELLING WORKS ON AFADJATO STREET 0.32KM,igf,6/21/2012,,,,,Accra Metropolitan Assembly,2012-06-21,,
Accra Metropolitan Assembly,2012,SURFACING OF KINSHASHA ROAD CH 1+250-1+500,igf,7/20/2012,,,,,Accra Metropolitan Assembly,2012-07-20,,
Accra Metropolitan Assembly,2012,ROADLINE MARKING OF NSAWAM CIRCLE NORTH BOUND,igf,7/26/2012,,,,,Accra Metropolitan Assembly,2012-07-26,,
Accra Metropolitan Assembly,2012,ROADLINE MARKING ON NSAWAM CIRCLE NORTH BOUND,igf,7/26/2012,,,,,Accra Metropolitan Assembly,2012-07-26,,
Accra Metropolitan Assembly,2012,SURFACING OF BOSSMAN STREET,igf,11/18/2011,,,,,Accra Metropolitan Assembly,2011-11-18,,
Accra Metropolitan Assembly,2012,GRAVELLING WORKS ON GIFFARD LANE,igf,4/25/2012,,,,,Accra Metropolitan Assembly,2012-04-25,,
Accra Metropolitan Assembly,2012,GRAVELLING WORKS ON SAHARA DOWN ROAD 0.50KM,igf,4/14/2011,,,,,Accra Metropolitan Assembly,2011-04-14,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN ALONG MANGO STREET LHS CH 0+000-0+200- EAST LEGON,igf,3/22/2012,,,,,Accra Metropolitan Assembly,2012-03-22,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN ON KWAME STREET ABEKA CH 0+110-0+330,igf,5/3/2011,,,,,Accra Metropolitan Assembly,2011-05-03,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN ON TWUM STREET ABEKA,igf,12/13/2010,,,,,Accra Metropolitan Assembly,2010-12-13,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 1 2M STORM DRAIN ALONG FAITH EVANGELICAL CHURCH AREA RHS,igf,11/2/2010,,,,,Accra Metropolitan Assembly,2010-11-02,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN ALONG SUNFLOWER RHS CH1+250-1+500 EAST LEGON,igf,11/21/2011,,,,,Accra Metropolitan Assembly,2011-11-21,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.45M U DRAIN ALONG AWUDOME LOOP,igf,11/30/2011,,,,,Accra Metropolitan Assembly,2011-11-30,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.45M U DRAINS ALONG FREMA AVENUE RHS CHAINAGE 0+00-0+250,igf,9/6/2011,,,,,Accra Metropolitan Assembly,2011-09-06,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.45M U DRAIN ALONG GHANA LINK RHS CH 0+000-0+330 EAST LEGON,igf,12/9/2011,,,,,Accra Metropolitan Assembly,2011-12-09,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.45M U DRAINS ALONG GHANA LINK LHS CH 0+000-0+330,igf,12/9/2011,,,,,Accra Metropolitan Assembly,2011-12-09,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAINS ALONG KUM HOTEL ROAD RHS CHAINAGE 0+000-0+240,igf,11/2/2011,,,,,Accra Metropolitan Assembly,2011-11-02,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.9M UDRAIN ALONG TAMBU LINK,igf,5/29/2011,,,,,Accra Metropolitan Assembly,2011-05-29,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN ALONG OLEANDER STREET RHS CH 0+250-0+500,igf,11/16/2011,,,,,Accra Metropolitan Assembly,2011-11-16,,
Accra Metropolitan Assembly,2012,PAVING WORKS AT ZONGO LANE PHASE I,igf,,,,,,Accra Metropolitan Assembly,,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN ON LANTE GEORGE LINK ROAD LHS LA,igf,12/10/2010,,,,,Accra Metropolitan Assembly,2010-12-10,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN AROUND BOUNDARY ROAD LINK EAST LEGON,igf,5/9/2011,,,,,Accra Metropolitan Assembly,2011-05-09,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.45M U DRAIN ALONG TUDU ROAD,igf,10/5/2010,,,,,Accra Metropolitan Assembly,2010-10-05,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN ON EMMAUSE CRESCENT 0+000-220 RHS,igf,6/9/2011,,,,,Accra Metropolitan Assembly,2011-06-09,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN ALONG KUM HOTEL ROAD CH 0+250-0-500,igf,12/24/2010,,,,,Accra Metropolitan Assembly,2010-12-24,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAINS ALONG WIRELESS LINK RHS LA,igf,2/12/2010,,,,,Accra Metropolitan Assembly,2010-02-12,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN ALONG KOFI PORTOPHY STREET CH 0+240-0840,igf,9/6/2011,,,,,Accra Metropolitan Assembly,2011-09-06,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN ALONG EMMANUSE CRESCENT CH 0+000-0+220,igf,5/12/2011,,,,,Accra Metropolitan Assembly,2011-05-12,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.9M U DRAIN ALONG MARCUS ROAD,igf,7/4/2010,,,,,Accra Metropolitan Assembly,2010-07-04,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M DRAIN ALONG KRAWKRANYA STREET LA,igf,6/23/2011,,,,,Accra Metropolitan Assembly,2011-06-23,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAINS ALONG SUN FLOWER STREET RHS CH0+500-0+750,igf,9/27/2011,,,,,Accra Metropolitan Assembly,2011-09-27,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN ALONG SUNFLOWER STREET LHS CH0+000-0+250,igf,10/3/2011,,,,,Accra Metropolitan Assembly,2011-10-03,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAINS ALONG SUNFLOWER STREET RHS CH0+250-0+500,igf,9/21/2011,,,,,Accra Metropolitan Assembly,2011-09-21,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAINS ALONG SUNFLOWER STREET CHAINAGE 1+250-1+500,igf,,,,,,Accra Metropolitan Assembly,,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN ALONG ANUMANSA STREET CH 0+220-0+440,igf,6/22/2011,,,,,Accra Metropolitan Assembly,2011-06-22,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN ALONG NANKA BRUCE LINK ROAD LHS CHAINAGE 0+000-0+240,igf,4/14/2011,,,,,Accra Metropolitan Assembly,2011-04-14,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.90M U DRAIN ON TWUM STREET ABEKA,igf,5/12/2011,,,,,Accra Metropolitan Assembly,2011-05-12,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN ALONG ACROPOLIS ROAD CHAINAGE 0+000-0+220,igf,7/4/2011,,,,,Accra Metropolitan Assembly,2011-07-04,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN ALONG 1ST LINK TO OUTER RINGROAD,igf,4/12/2011,,,,,Accra Metropolitan Assembly,2011-04-12,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0 9M U DRAINS ALONG FREETOWN,igf,9/7/2011,,,,,Accra Metropolitan Assembly,2011-09-07,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN ON TROAS STREET RHS CH 0+440-660 OSU,igf,4/27/2011,,,,,Accra Metropolitan Assembly,2011-04-27,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN ON 4TH STREET 0+000-0+300 DARKUMAN,igf,6/23/2011,,,,,Accra Metropolitan Assembly,2011-06-23,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.45M U DRAIN ALONG GUAVA LINK 0+000+252,igf,1/20/2012,,,,,Accra Metropolitan Assembly,2012-01-20,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAINS ALONG GUAVA LINK LHS 0+000-0+250,igf,11/2/2011,,,,,Accra Metropolitan Assembly,2011-11-02,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF COVERED DRAINS WATER RETENSION FACILITIES AND DESILTING OF ODAW KORLE LAGOON ETC,multiple,,,,,,Accra Metropolitan Assembly,,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.9M U DRAIN ALONG ARDENKPA STREET,igf,4/14/2011,,,,,Accra Metropolitan Assembly,2011-04-14,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN 3RD OTUNSHIE LINK LHS CH 0+230-0+480,igf,2/22/2012,,,,,Accra Metropolitan Assembly,2012-02-22,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN 3RD OTUNSHIE LINK LHS CH 0+000-0+230,igf,2/22/2012,,,,,Accra Metropolitan Assembly,2012-02-22,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN ALONG 7TH BUSIA LANE SAKAMAN,other/unknown,,,,,,Accra Metropolitan Assembly,,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN ALONG 6TH BUSIA LANE SAKAMAN,other/unknown,,,,,,Accra Metropolitan Assembly,,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 2.5MX1.7M STORM DRAIN ON DADEBAN ROAD CH 0+025-0+050,other/unknown,,,,,,Accra Metropolitan Assembly,,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN AT AKWETEMAN,other/unknown,,,,,,Accra Metropolitan Assembly,,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN ALONG ADUEMI STREET RHS CH 0+120-0+0+370,igf,1/20/2012,,,,,Accra Metropolitan Assembly,2012-01-20,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF LAY BY ALONG MALLAM ROAD FRONT OF GOIL FILLING STATION,igf,7/2/2012,,,,,Accra Metropolitan Assembly,2012-07-02,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 4.0M X 1.5M BOX CULVERTS ALONG ALAJO TESANO,igf,4/25/2012,,,,,Accra Metropolitan Assembly,2012-04-25,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN ALONG TESANO ROYAL GARDENS ROAD LHS CH 0+000-0+230,igf,3/22/2012,,,,,Accra Metropolitan Assembly,2012-03-22,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 2.5M X 1.6M STOREM DRAIN ON KLAN LINK CHAINAGE 0+070-0+105,igf,6/15/2012,,,,,Accra Metropolitan Assembly,2012-06-15,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 2.5M X 1.6M STORM DRAIN ON KLAN LINK CHAINAGE 0+00-035,igf,6/15/2012,,,,,Accra Metropolitan Assembly,2012-06-15,,
Accra Metropolitan Assembly,2012,DRAINAGE WORKS ALONG ZOE INTERNATIONAL SCHOOL ROAD,igf,5/2/2012,,,,,Accra Metropolitan Assembly,2012-05-02,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6 U DRAIN ALONG APAPA LINK LHS CH 1+100-1+320-LA,igf,8/9/2011,,,,,Accra Metropolitan Assembly,2011-08-09,,
Accra Metropolitan Assembly,2012,DRAINAGE WORKS ALONG GOOD SHEPHERD ROAD CHAINAGE 0+180-0+360 LHS OKAIKOI NORTH,igf,5/2/2012,,,,,Accra Metropolitan Assembly,2012-05-02,,
Accra Metropolitan Assembly,2012,DRAINAGE WORKS ALONG GOOD SHEPHERD ROAD CHAINAGE 0+000-0+180 RHS OKAIKOI SOUTH,igf,5/2/2012,,,,,Accra Metropolitan Assembly,2012-05-02,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 2.5M X 1.6M STORM DRAIN ON KLAN LINK CH 0+035-0+070,igf,6/15/2012,,,,,Accra Metropolitan Assembly,2012-06-15,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.9M U DRAIN ALONG ADOTEI STREET LHS ABLEKUMA CENTRAL CH 0+000-0+130,igf,4/25/2012,,,,,Accra Metropolitan Assembly,2012-04-25,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6 U DRAIN ALONG TESANO ROYAL GARDENS ROAD LHS CH 0+000-0+230,igf,3/22/2012,,,,,Accra Metropolitan Assembly,2012-03-22,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0 6 U DRAIN ALONG SIX SIX JUNCTION SIX TO SIX LHS CH 0+400-0+600,igf,8/6/2012,,,,,Accra Metropolitan Assembly,2012-08-06,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN ALONG ADJEI TSURU STREET ROAD LHS CH 0+000-0+200,igf,8/1/2012,,,,,Accra Metropolitan Assembly,2012-08-01,,
Accra Metropolitan Assembly,2012,DRAINAGE WORKS AT KOTEY LINK,igf,9/17/2012,,,,,Accra Metropolitan Assembly,2012-09-17,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAINS ON MANGO LINK DRAINS ON MANGO LINK,igf,9/11/2012,,,,,Accra Metropolitan Assembly,2012-09-11,,
Accra Metropolitan Assembly,2012,"MINOR DRAINAGE WORKS IN ABLEKUMA SUB-METRO-MARCH, 2012",igf,5/3/2012,,,,,Accra Metropolitan Assembly,2012-05-03,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6 U DRAIN AT GNTC BAKERY,igf,8/23/2012,,,,,Accra Metropolitan Assembly,2012-08-23,,
Accra Metropolitan Assembly,2012,"CONSTRUCTION OF 0.45M DRAIN ALONG ABETSEWE LOOP, LHS",igf,9/3/2012,,,,,Accra Metropolitan Assembly,2012-09-03,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6 M U DRAINS ALONG LILY STREET-EAST LEGON RHS (CH.0+200-0+400),igf,4/30/2012,,,,,Accra Metropolitan Assembly,2012-04-30,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN ALONG ACROPOLIS ROAD (CHAINAGE 0+220-0+440)-EAST LEGON,igf,8/22/2012,,,,,Accra Metropolitan Assembly,2012-08-22,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6 M U DRAINS ALONG LILY STREET-EAST LEGON RHS (CH.0+200-0+400),igf,4/30/2011,,,,,Accra Metropolitan Assembly,2011-04-30,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAINS ALONG LILY STREET-EAST LEGON LHS (CH.0+000-0+200),igf,4/30/2011,,,,,Accra Metropolitan Assembly,2011-04-30,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 1.2 X 1.2 M STRORM DRAIN ON BINEY STREET CH 0+080-0+160,igf,7/16/2011,,,,,Accra Metropolitan Assembly,2011-07-16,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6 M U DRAIN ALONG ZONGO JUNCTION LHS FAITH EVANGELICAL CHURCH,igf,8/15/2012,,,,,Accra Metropolitan Assembly,2012-08-15,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0 6 M U DRAIN ALONG K ASANTE AVENUE 4TH STREET LHS CHAINAGE 0+230-0+345 AYAWASO WEST WUOGON SUB METRO,igf,5/3/2012,,,,,Accra Metropolitan Assembly,2012-05-03,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6 M U DRAIN ALONG K ASANTE AVENUE 4TH STREET LHS CHAINAGE 0+230-0+345 AYAWASO WEST WUOGON SUB METRO,igf,5/3/2012,,,,,Accra Metropolitan Assembly,2012-05-03,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6 M U DRAIN ON JUNGLE LINK,igf,2/14/2011,,,,,Accra Metropolitan Assembly,2011-02-14,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 2NO LAY BY ON GIFFARD ROAD LA OPPOSITE SOUTHERN FRIED CHICKEN,igf,6/22/2012,,,,,Accra Metropolitan Assembly,2012-06-22,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAINS ALONG NII KWAKRANYA STREET LHS CH 0+000-0+200,igf,5/10/2012,,,,,Accra Metropolitan Assembly,2012-05-10,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAINS ALONG NII KWAKRANYA STREET LHS CH 0+200-0+400,igf,5/10/2012,,,,,Accra Metropolitan Assembly,2012-05-10,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAINS ALONG ROYAL CEMETARY ROAD RHS CHAINAGE 0+250-0+500-LA RELOCATED TO MEMPEASEM,igf,6/6/2012,,,,,Accra Metropolitan Assembly,2012-06-06,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6 M U DRAINS ALONG ST JOSEPH STREET,igf,8/15/2012,,,,,Accra Metropolitan Assembly,2012-08-15,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN SIX TO SIX JUNCTION SIX TO SIX RHS OKAIKOI NORTH CH 0+000+0+200,igf,5/10/2012,,,,,Accra Metropolitan Assembly,2012-05-10,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN ALONG OBUABI GONNO STREET RHS CH 0+000-0+250,igf,2/13/2012,,,,,Accra Metropolitan Assembly,2012-02-13,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.9 U DRAIN ALONG NSAKINAA LINK CHAINAGE 0+000-0+150,igf,8/13/2012,,,,,Accra Metropolitan Assembly,2012-08-13,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6 U DRAIN ON ADOTEY OBOUR STREET LHS,igf,7/27/2012,,,,,Accra Metropolitan Assembly,2012-07-27,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN ALONG DANSO STREET,igf,7/27/2012,,,,,Accra Metropolitan Assembly,2012-07-27,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAINS AROUND PALOMA,igf,6/22/2012,,,,,Accra Metropolitan Assembly,2012-06-22,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 2.5 X 1.5 STORM DRAIN AT ALPHA BETA CH 0+025-025-0+050,igf,8/15/2012,,,,,Accra Metropolitan Assembly,2012-08-15,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN ALONG TRAKOR STREET RHS CHAINAGE 0+230-0+460,igf,1/30/2012,,,,,Accra Metropolitan Assembly,2012-01-30,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 2.5 X 1.5 M STORM DRAIN AT ALPHA BETA CH 0+050-0+075,igf,8/15/2012,,,,,Accra Metropolitan Assembly,2012-08-15,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M U DRAIN ALONG NII OWOO AVENUE RHS CHAINAGE 0+000-0+200 WEST LEGON,igf,5/3/2012,,,,,Accra Metropolitan Assembly,2012-05-03,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.45 U DRAIN ALONG KOFI PORTOPHY AVENUE 5TH STREET LHS CHAINAGE 0+000-0+260 WEST,igf,,,,,,Accra Metropolitan Assembly,,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.6M DRAINS ALONG CYCASS STREET RHS CH0+000-0+230,igf,4/14/2012,,,,,Accra Metropolitan Assembly,2012-04-14,,
Accra Metropolitan Assembly,2012,CONSTRUCTION OF 0.9 U DRAIN ON WUO LANE SAKAMAN,igf,6/22/2012,,,,,Accra Metropolitan Assembly,2012-06-22,,
